iter	Passed	Remaining
403	10930	16124
404	10955	16095
405	10983	16069
406	11011	16043
407	11035	16012
408	11061	15983
409	11088	15956
410	11112	15925
411	11138	15896
412	11162	15865
413	11187	15835
414	11213	15807
415	11237	15776
416	11266	15752
417	11293	15723
418	11319	15696
419	11346	15668
420	11368	15635
421	11397	15610
422	11424	15583
423	11457	15564
424	11484	15537
425	11511	15511
426	11542	15488
427	11573	15467
428	11599	15439
429	11631	15419
430	11660	15393
431	11689	15369
432	11717	15344
433	11754	15329
434	11782	15303
435	11812	15280
436	11839	15253
437	11866	15226
438	11896	15202
439	11923	15175
440	11952	15150
441	11980	15124
442	12008	15099
443	12037	15074
444	12069	15053
445	12145	15086
446	12174	15060
447	12200	15032
448	12223	15000
449	12247	14969
450	12275	14943
451	12302	14915
452	12330	14888
453	12356	14860
454	12385	14834
455	12413	14808
456	12440	14781
457	12470	14757
458	12502	14736
459	12529	14708
460	12554	14679
461	12577	14646
462	12610	14626
463	12638	14599
464	12666	14573
465	12695	14547
466	12720	14518
467	12741	14483
468	12766	14453
469	12793	14426
470	12819	14397
471	12841	14364
472	12865	14334
473	12892	14306
474	12918	14278
475	12944	14250
476	12969	14219
477	12991	14187
478	13018	14159
479	13043	14130
480	13070	14102
481	13096	14074
482	13121	14045
483	13144	14013
484	13168	13983
485	13196	13956
486	13220	13926
487	13246	13898
488	13269	13866
489	13296	13839
490	13321	13810
491	13348	13782
492	13374	13753
493	13399	13724
494	13425	13696
495	13453	13670
496	13481	13644
497	13503	13612
498	13528	13582
499	13554	13554
500	13579	13524
501	13606	13497
502	13631	13468
503	13657	13440
504	13684	13413
505	13710	13385
506	13735	13355
507	13759	13325
508	13784	13296
509	13808	13266
510	13836	13240
511	13865	13215
512	13890	13186
513	13919	13160
514	13943	13131
515	13966	13099
516	13994	13074
517	14024	13049
518	14051	13022
519	14079	12996
520	14110	12972
521	14138	12946
522	14166	12920
523	14193	12893
524	14219	12865
525	14243	12835
526	14270	12808
527	14295	12779
528	14321	12751
529	14350	12725
530	14374	12696
531	14400	12668
532	14427	12640
533	14450	12610
534	14477	12583
535	14500	12552
536	14526	12524
537	14552	12496
538	14577	12467
539	14602	12439
540	14631	12414
541	14656	12385
542	14681	12356
543	14710	12330
544	14735	12301
545	14760	12273
546	14786	12245
547	14813	12218
548	14838	12190
549	14865	12162
550	14889	12132
551	14915	12105
552	14940	12076
553	14967	12049
554	14994	12022
555	15017	11992
556	15043	11964
557	15065	11933
558	15089	11904
559	15115	11876
560	15141	11848
561	15170	11823
562	15205	11802
563	15235	11777
564	15265	11753
565	15296	11729
566	15329	11706
567	15358	11681
568	15383	11652
569	15407	11622
570	15436	11597
571	15462	11569
572	15487	11541
573	15510	11511
574	15537	11484
575	15562	11455
576	15589	11428
577	15614	11400
578	15641	11373
579	15665	11344
580	15694	11318
581	15721	11291
582	15748	11264
583	15771	11234
584	15800	11208
585	15825	11180
586	15852	11153
587	15875	11123
588	15902	11096
589	15929	11069
590	15954	11041
591	15982	11015
592	16009	10988
593	16036	10961
594	16064	10934
595	16092	10908
596	16117	10880
597	16144	10852
598	16170	10825
599	16197	10798
600	16223	10770
601	16248	10742
602	16272	10713
603	16299	10686
604	16324	10657
605	16349	10630
606	16375	10602
607	16401	10574
608	16427	10547
609	16455	10521
610	16482	10493
611	16508	10466
612	16536	10439
613	16564	10413
614	16591	10386
615	16614	10356
616	16642	10330
617	16670	10304
618	16696	10277
619	16724	10250
620	16753	10224
621	16777	10196
622	16805	10169
623	16831	10141
624	16856	10113
625	16883	10087
626	16911	10060
627	16940	10034
628	16965	10006
629	16991	9979
630	17017	9951
631	17045	9925
632	17072	9898
633	17096	9869
634	17124	9842
635	17151	9816
636	17179	9789
637	17207	9763
638	17235	9736
639	17264	9711
640	17291	9684
641	17321	9659
642	17346	9630
643	17371	9602
644	17396	9574
645	17421	9546
646	17453	9522
647	17514	9514
648	17547	9490
649	17574	9463
650	17600	9435
651	17627	9408
652	17653	9381
653	17682	9354
654	17707	9326
655	17736	9300
656	17765	9274
657	17794	9249
658	17820	9221
659	17846	9193
660	17870	9165
661	17898	9138
662	17926	9112
663	17952	9084
664	17978	9056
665	18003	9028
666	18029	9001
667	18055	8973
668	18081	8946
669	18105	8917
670	18132	8890
671	18161	8864
672	18190	8838
673	18219	8812
674	18248	8786
675	18272	8757
676	18298	8730
677	18322	8701
678	18351	8675
679	18377	8648
680	18406	8622
681	18433	8594
682	18461	8568
683	18486	8540
684	18513	8513
685	18538	8485
686	18567	8459
687	18592	8431
688	18628	8408
689	18660	8383
690	18687	8356
691	18717	8330
692	18744	8303
693	18773	8277
694	18800	8250
695	18825	8222
696	18850	8194
697	18878	8168
698	18905	8141
699	18931	8113
700	18962	8087
701	18989	8060
702	19016	8033
703	19043	8006
704	19074	7981
705	19098	7953
706	19123	7925
707	19152	7899
708	19182	7873
709	19209	7846
710	19239	7820
711	19265	7792
712	19292	7765
713	19319	7738
714	19349	7712
715	19377	7686
716	19406	7659
717	19434	7633
718	19462	7606
719	19489	7579
720	19515	7551
721	19543	7525
722	19573	7499
723	19605	7474
724	19635	7448
725	19665	7421
726	19695	7395
727	19724	7369
728	19753	7343
729	19783	7317
730	19813	7291
731	19842	7264
732	19873	7238
733	19901	7212
734	19935	7187
735	19962	7160
736	19988	7133
737	20017	7106
738	20046	7079
739	20074	7053
740	20101	7026
741	20129	6999
742	20158	6972
743	20184	6945
744	20208	6917
745	20233	6889
746	20257	6860
747	20281	6832
748	20305	6804
749	20338	6779
750	20371	6754
751	20402	6728
752	20431	6701
753	20461	6675
754	20493	6650
755	20523	6623
756	20549	6596
757	20579	6570
758	20602	6541
759	20633	6515
760	20660	6488
761	20688	6461
762	20712	6433
763	20740	6406
764	20766	6379
765	20796	6353
766	20820	6324
767	20848	6298
768	20879	6271
769	20904	6244
770	20934	6217
771	20961	6190
772	20989	6163
773	21014	6136
774	21040	6108
775	21067	6081
776	21093	6053
777	21117	6025
778	21144	5998
779	21170	5971
780	21195	5943
781	21218	5915
782	21246	5888
783	21272	5860
784	21297	5833
785	21326	5806
786	21354	5779
787	21382	5752
788	21408	5725
789	21435	5698
790	21466	5672
791	21497	5645
792	21533	5621
793	21567	5595
794	21597	5569
795	21624	5541
796	21653	5515
797	21679	5487
798	21709	5461
799	21740	5435
800	21769	5408
801	21799	5381
802	21826	5354
803	21856	5328
804	21886	5301
805	21916	5275
806	21941	5247
807	21969	5220
808	21998	5193
809	22027	5167
810	22056	5140
811	22085	5113
812	22112	5086
813	22145	5060
814	22174	5033
815	22204	5006
816	22229	4979
817	22254	4951
818	22284	4924
819	22307	4896
820	22333	4869
821	22360	4842
822	22389	4815
823	22416	4787
824	22441	4760
825	22468	4733
826	22495	4705
827	22522	4678
828	22550	4651
829	22579	4624
830	22605	4597
831	22635	4570
832	22662	4543
833	22689	4516
834	22713	4488
835	22738	4460
836	22766	4433
837	22795	4406
838	22821	4379
839	22850	4352
840	22881	4325
841	22908	4298
842	22933	4271
843	22957	4243
844	22983	4215
845	23049	4195
846	23083	4169
847	23110	4142
848	23141	4115
849	23170	4088
850	23200	4062
851	23226	4034
852	23254	4007
853	23283	3980
854	23317	3954
855	23345	3927
856	23370	3899
857	23401	3873
858	23427	3845
859	23453	3817
860	23480	3790
861	23508	3763
862	23534	3736
863	23560	3708
864	23588	3681
865	23613	3653
866	23639	3626
867	23666	3599
868	23693	3571
869	23721	3544
870	23748	3517
871	23776	3490
872	23804	3462
873	23834	3436
874	23860	3408
875	23885	3381
876	23909	3353
877	23939	3326
878	23964	3298
879	23989	3271
880	24015	3243
881	24042	3216
882	24068	3189
883	24095	3161
884	24119	3134
885	24149	3107
886	24177	3080
887	24204	3052
888	24231	3025
889	24260	2998
890	24291	2971
891	24319	2944
892	24347	2917
893	24372	2889
894	24400	2862
895	24428	2835
896	24453	2807
897	24479	2780
898	24505	2753
899	24535	2726
900	24563	2698
901	24591	2671
902	24617	2644
903	24642	2616
904	24667	2589
905	24693	2561
906	24719	2534
907	24748	2507
908	24772	2480
909	24800	2452
910	24824	2425
911	24852	2398
912	24880	2370
913	24908	2343
914	24934	2316
915	24962	2289
916	24991	2262
917	25018	2234
918	25043	2207
919	25070	2180
920	25099	2152
921	25123	2125
922	25150	2098
923	25178	2070
924	25207	2043
925	25235	2016
926	25260	1989
927	25285	1961
928	25314	1934
929	25341	1907
930	25367	1880
931	25393	1852
932	25423	1825
933	25451	1798
934	25477	1771
935	25507	1744
936	25539	1717
937	25572	1690
938	25605	1663
939	25636	1636
940	25666	1609
941	25696	1582
942	25721	1554
943	25744	1527
944	25769	1499
945	25800	1472
946	25827	1445
947	25850	1417
948	25875	1390
949	25902	1363
950	25930	1336
951	25957	1308
952	25983	1281
953	26010	1254
954	26040	1227
955	26066	1199
956	26098	1172
957	26124	1145
958	26152	1118
959	26178	1090
960	26208	1063
961	26234	1036
962	26260	1008
963	26286	981
964	26312	954
965	26339	927
966	26370	899
967	26398	872
968	26424	845
969	26450	818
970	26480	790
971	26510	763
972	26538	736
973	26563	709
974	26590	681
975	26617	654
976	26640	627
977	26670	599
978	26697	572
979	26725	545
980	26750	518
981	26775	490
982	26800	463
983	26825	436
984	26849	408
985	26873	381
986	26902	354
987	26931	327
988	26957	299
989	26983	272
990	27010	245
991	27036	218
992	27060	190
993	27086	163
994	27114	136
995	27141	109
996	27164	81
997	27189	54
998	27212	27
999	27240	0
